type,choose,feature_nums,treenums,precision,recall,f1,MCC,TP,FP,TN,FN,AUC
test,maxrel,41,84,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7607380520266183,"
"
test,maxrel,41,85,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7616454930429523,"
"
test,maxrel,41,86,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7607380520266183,"
"
test,maxrel,41,87,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7599818511796733,"
"
test,maxrel,41,88,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7593768905021173,"
"
test,maxrel,41,89,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7578644888082274,"
"
test,maxrel,41,90,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7592256503327284,"
"
test,maxrel,41,91,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7574107683000605,"
"
test,maxrel,41,92,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7577132486388385,"
"
test,maxrel,41,93,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7555958862673926,"
"
test,maxrel,41,94,0.8235294117647058,0.3684210526315789,0.509090909090909,0.448106568856449,14.0,3.0,84.0,24.0,0.7542347247428917,"
"
test,maxrel,41,95,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7528735632183908,"
"
test,maxrel,41,96,0.8235294117647058,0.3684210526315789,0.509090909090909,0.448106568856449,14.0,3.0,84.0,24.0,0.7528735632183908,"
"
test,maxrel,41,97,0.8235294117647058,0.3684210526315789,0.509090909090909,0.448106568856449,14.0,3.0,84.0,24.0,0.7527223230490018,"
"
test,maxrel,41,98,0.8235294117647058,0.3684210526315789,0.509090909090909,0.448106568856449,14.0,3.0,84.0,24.0,0.7530248033877798,"
"
test,maxrel,41,99,0.8235294117647058,0.3684210526315789,0.509090909090909,0.448106568856449,14.0,3.0,84.0,24.0,0.7554446460980037,"
"
test,maxrel,41,100,0.8235294117647058,0.3684210526315789,0.509090909090909,0.448106568856449,14.0,3.0,84.0,24.0,0.7548396854204477,"
"
test,maxrel,41,101,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7548396854204477,"
"
test,maxrel,41,102,0.8235294117647058,0.3684210526315789,0.509090909090909,0.448106568856449,14.0,3.0,84.0,24.0,0.7542347247428917,"
"
test,maxrel,41,103,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7555958862673926,"
"
test,maxrel,41,104,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7562008469449486,"
"
test,maxrel,41,105,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7589231699939504,"
"
test,maxrel,41,106,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7580157289776165,"
"
test,maxrel,41,107,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7577132486388385,"
"
test,maxrel,41,108,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7598306110102844,"
"
test,maxrel,41,109,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7605868118572293,"
"
test,maxrel,41,110,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7592256503327284,"
"
test,maxrel,41,111,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7584694494857834,"
"
test,maxrel,41,112,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7580157289776165,"
"
test,maxrel,41,113,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7584694494857834,"
"
test,maxrel,41,114,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7578644888082274,"
"
test,maxrel,41,115,0.7368421052631579,0.3684210526315789,0.49122807017543857,0.3983932366027047,14.0,5.0,82.0,24.0,0.7558983666061706,"
"
test,maxrel,41,116,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7555958862673926,"
"
test,maxrel,41,117,0.7368421052631579,0.3684210526315789,0.49122807017543857,0.3983932366027047,14.0,5.0,82.0,24.0,0.7552934059286146,"
"
test,maxrel,41,118,0.7368421052631579,0.3684210526315789,0.49122807017543857,0.3983932366027047,14.0,5.0,82.0,24.0,0.7545372050816697,"
"
test,maxrel,41,119,0.7368421052631579,0.3684210526315789,0.49122807017543857,0.3983932366027047,14.0,5.0,82.0,24.0,0.7557471264367817,"
"
test,maxrel,41,120,0.7368421052631579,0.3684210526315789,0.49122807017543857,0.3983932366027047,14.0,5.0,82.0,24.0,0.7560496067755595,"
"
test,maxrel,41,121,0.7368421052631579,0.3684210526315789,0.49122807017543857,0.3983932366027047,14.0,5.0,82.0,24.0,0.7568058076225045,"
"
test,maxrel,41,122,0.7368421052631579,0.3684210526315789,0.49122807017543857,0.3983932366027047,14.0,5.0,82.0,24.0,0.7592256503327284,"
"
test,maxrel,41,123,0.7368421052631579,0.3684210526315789,0.49122807017543857,0.3983932366027047,14.0,5.0,82.0,24.0,0.7611917725347852,"
"
test,maxrel,41,124,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7586206896551724,"
"
